ProductID,Product Name,Category,Features/Attributes,Target Audience
1,AirMax Pro Sneakers,Shoes,Comfortable;Lightweight;Trendy;Breathable mesh,Young Adults
2,Apple Watch Series 9,Electronics,Fitness tracking;Notifications;Waterproof;GPS,Professionals
3,Organic Colombian Coffee,Food,Ethically sourced;Strong aroma;Ground beans;Fair trade,Coffee Lovers
4,Wireless Noise-Canceling Headphones,Electronics,Active noise cancellation;30hr battery;Bluetooth 5.0;Comfortable,Music Enthusiasts
5,Luxury Leather Handbag,Fashion,Premium leather;Handcrafted;Multiple compartments;Timeless design,Professional Women
6,Smart Home Security Camera,Electronics,Night vision;Motion detection;Cloud storage;Easy installation,Homeowners
7,Protein Powder Vanilla,Health & Fitness,25g protein;Natural ingredients;No artificial sweeteners;Easy mixing,Fitness Enthusiasts
8,Minimalist Desk Lamp,Home & Office,LED lighting;Adjustable brightness;USB charging port;Modern design,Remote Workers
9,Organic Green Tea,Food,Antioxidant rich;Calming;Premium quality;Eco-friendly packaging,Health Conscious
10,Bluetooth Portable Speaker,Electronics,360Â° sound;Waterproof;12hr battery;Compact design,Outdoor Enthusiasts
11,Memory Foam Pillow,Home & Office,Ergonomic support;Hypoallergenic;Machine washable;Cooling gel,Quality Sleep Seekers
12,Stainless Steel Water Bottle,Health & Fitness,Insulated;Leak-proof;BPA-free;Eco-friendly,Active Lifestyle
13,Wireless Phone Charger,Electronics,Fast charging;Qi compatible;LED indicator;Sleek design,Tech Savvy Users
14,Artisan Ceramic Mug,Home & Office,Handcrafted;Microwave safe;Unique design;Perfect for coffee,Creative Professionals
15,Resistance Bands Set,Health & Fitness,Multiple resistance levels;Portable;Durable;Full body workout,Home Fitness
16,LED Strip Lights,Home & Office,RGB colors;Remote control;Easy installation;Energy efficient,Interior Designers
17,Organic Face Moisturizer,Beauty & Personal Care,Natural ingredients;Anti-aging;Hydrating;Cruelty-free,Beauty Enthusiasts
18,Portable Laptop Stand,Home & Office,Adjustable height;Aluminum construction;Foldable;Ergonomic,Digital Nomads
19,Herbal Sleep Tea,Food,Chamomile blend;Caffeine-free;Relaxing;Premium quality,Wellness Seekers
20,Smart Fitness Tracker,Electronics,Heart rate monitor;Sleep tracking;Water resistant;Long battery life,Fitness Beginners
